target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:way:73743541,Chicago Loop Post Office,United States Postal Service,211 South Clark Street,Chicago,IL,60604,41.8790644,-87.6302725,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:13332982300,The UPS Store,The UPS Store,29 North Wacker Drive,Chicago,IL,,41.8827456,-87.6366616,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:3032553426,The UPS Store,The UPS Store,301 West Grand Avenue,Chicago,IL,60654,41.8913861,-87.6357742,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:3660900086,The UPS Store,The UPS Store,207 East Ohio Street,Chicago,IL,60611,41.8924549,-87.6220526,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:4448346510,The UPS Store,The UPS Store,17 East Monroe Street,Chicago,IL,60603,41.8801279,-87.6263628,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
loop-river-north,Loop / River North field,urban_core_mixed_service_field,post_office,osm:node:6239075292,The UPS Store,The UPS Store,910 West Van Buren Street 100,Chicago,IL,60607,41.8767602,-87.6499756,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
oakbrook-wide,Oakbrook widened field,west_suburban_edge_city_field,post_office,osm:way:590545843,Oak Brook Post Office,United States Postal Service,1314 Kensington Road,Oak Brook,IL,60523,41.8419597,-87.9517306,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
oakbrook-wide,Oakbrook widened field,west_suburban_edge_city_field,post_office,osm:node:5116348119,The UPS Store,The UPS Store,,Oak Brook,IL,,41.8709028,-87.935058,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
orland-square,Orland Square field,south_suburban_mall_field,post_office,osm:way:1231577407,Orland Park Post Office,United States Postal Service,9500 West 144th Place,Orland Park,IL,60462,41.628416,-87.8517068,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
orland-square,Orland Square field,south_suburban_mall_field,post_office,osm:node:9234090966,Orland Park Retail Post Office,United States Postal Service,15128 South La Grange Road,Orland Park,IL,60462,41.6146467,-87.855189,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
orland-square,Orland Square field,south_suburban_mall_field,post_office,osm:node:13239826255,Shipping Pros,,14430 John Humphrey Drive,Orland Park,IL,60462,41.6283395,-87.8504892,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,exclude,private_shipping_counter
