region,field_id,label,anchor_field,tax_prep_rows,tax_prep_brands,tax_prep_signal,insurance_rows,insurance_brands,insurance_signal,professional_services_signal
chicago,woodfield-schaumburg,Woodfield / Schaumburg field,northwest_edge_city_mall_field,2,2,tax_prep_service_node,14,4,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
dallas,arlington-grand-prairie,Arlington / Grand Prairie field,midcities_power_event_field,12,3,multi_brand_tax_prep_service_grid,38,4,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
dallas,downtown-uptown-dallas,Downtown / Uptown Dallas field,urban_core_mixed_service_field,2,1,tax_prep_service_node,9,3,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
dallas,fort-worth-west-7th,Fort Worth Cultural / West 7th field,secondary_core_service_field,1,1,single_tax_prep_anchor,9,3,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
dallas,galleria-addison,Galleria / Addison field,north_dallas_edge_city_field,3,2,tax_prep_service_node,25,4,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
dallas,las-colinas-irving,Las Colinas / Irving field,airport_office_edge_field,3,2,tax_prep_service_node,33,4,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
dallas,legacy-frisco-plano,Legacy / Frisco / Plano field,north_growth_edge_city_field,2,2,tax_prep_service_node,34,4,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
dallas,northpark-preston-hollow,NorthPark / Preston Hollow field,north_dallas_regional_mall_field,1,1,single_tax_prep_anchor,15,4,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
dallas,southlake-town-square,Southlake Town Square field,affluent_suburban_town_center_field,1,1,single_tax_prep_anchor,10,4,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
los_angeles,downtown-koreatown-midwilshire,Downtown LA / Koreatown / Mid-Wilshire field,urban_core_mixed_service_field,12,2,multi_brand_tax_prep_service_grid,62,3,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
los_angeles,glendale-burbank,Glendale / Burbank field,valley_media_retail_edge_field,6,1,tax_prep_service_node,80,5,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
los_angeles,long-beach-lakewood,Long Beach / Lakewood field,port_coastal_grid_mall_service_field,20,3,multi_brand_tax_prep_service_grid,93,5,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
los_angeles,ontario-rancho-cucamonga,Ontario Mills / Rancho Cucamonga field,inland_freeway_power_center_field,5,2,multi_brand_tax_prep_service_grid,51,5,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
los_angeles,riverside-tyler-corona,Riverside / Tyler / Corona edge field,inland_secondary_core_growth_field,12,3,multi_brand_tax_prep_service_grid,81,4,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
los_angeles,south-bay-torrance,South Bay / Torrance field,coastal_suburban_mall_auto_service_field,8,2,multi_brand_tax_prep_service_grid,79,4,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
los_angeles,west-la-century-city-culver,West LA / Century City / Culver City field,affluent_office_retail_service_field,7,2,multi_brand_tax_prep_service_grid,33,4,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
philadelphia,camden-waterfront,Camden Waterfront / Cooper field,older_industrial_river_civic_field,1,1,single_tax_prep_anchor,0,0,checked_absent,tax_prep_without_insurance
philadelphia,center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,3,1,tax_prep_service_node,16,5,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
philadelphia,cherry-hill-moorestown,Cherry Hill / Moorestown field,south_jersey_mall_edge_field,4,2,multi_brand_tax_prep_service_grid,18,4,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
philadelphia,conshohocken-plymouth-meeting,Conshohocken / Plymouth Meeting field,river_office_suburban_edge_field,1,1,single_tax_prep_anchor,16,3,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
philadelphia,king-of-prussia,King of Prussia field,suburban_edge_city_superregional_mall_field,1,1,single_tax_prep_anchor,6,3,multi_brand_insurance_service_grid,light_professional_services_node
philadelphia,northeast-roosevelt,Northeast Philadelphia / Roosevelt Boulevard field,inner_suburban_auto_corridor_field,8,2,multi_brand_tax_prep_service_grid,45,4,dense_multi_brand_insurance_service_grid,confirmed_professional_services_grid
philadelphia,south-philly-sports-port,South Philadelphia Sports / Port field,event_port_auto_service_field,4,1,tax_prep_service_node,9,4,dense_multi_brand_insurance_service_grid,insurance_broad_tax_prep_light
philadelphia,university-city-30th-street,University City / 30th Street field,eds_meds_rail_service_field,1,1,single_tax_prep_anchor,3,1,insurance_service_node,light_professional_services_node
